Time,V1,V2,V3,V4,V5,Amount,Class
15795,-1.875676772206517,-1.0277108640884889,-0.3684499890866967,1.3265038874367736,-0.2632417125719598,320.98,0
860,-1.3667821388862977,0.741240635045218,0.15720185509707793,-0.954390128572995,0.5348092900812669,594.09,0
76820,0.6363051083451703,-1.710529578525031,-0.11547340992373271,-2.3395965636433984,1.9059072369269943,369.55,0
54886,-0.9067206685799298,0.1189784918959853,0.8317085769758473,-0.35153679862044995,0.2276023209304917,454.54,0
6265,0.4760425874269718,1.0004856077621047,-0.31935507781477807,-1.0193414672400714,-0.1946702618774796,548.83,0
82386,1.303661268398584,0.1524208622592595,-0.20461650547758856,0.8319581865745113,1.4196729775437447,549.15,0
37194,0.2115870123260165,-0.6013972455717266,0.2710617487422633,-0.7243337953470994,0.4607370675639193,202.13,0
87498,0.5970446461790757,-0.8466143568647967,2.2448066060105636,-1.875778638563943,0.5861056047234005,684.73,0
44131,-0.8963351831293019,0.8161527228813708,-0.7876019103588716,-0.5742014488076791,-1.5231608704717607,88.32,0
60263,-0.11198782050694159,0.47170729152697877,1.9236244121452792,-1.4919743254588493,1.2059152072425854,139.26,0
16023,1.4689412854323924,-0.28548930098633024,-1.1835731679445378,1.59015771901085,0.37558806799164546,3.21,0
41090,-1.1238983345400366,1.06529246884595,0.22897043223043761,0.47164195444806895,-1.371589379723124,117.14,0
67221,0.9500053955071801,0.8539977864949012,-0.33938629317819685,0.6475581090137137,0.4850941116132751,473.43,0
64820,1.7265164685753638,1.7885938573254625,-0.8152709365219237,0.5360265349048582,-2.0625256739117495,606.3,0
769,0.4578850770000152,0.5668940707870872,0.6990923818599891,0.8401711592784255,2.3419752025129954,794.39,0
59735,-1.6842873783658814,-0.1645004341619045,0.5998966337110059,1.1333420250690736,-1.1018547999817607,107.15,0
62955,0.32684522397001387,-0.14299093470752663,-0.481248133823506,-0.539745359324594,1.6117927657184359,850.8,0
64925,-0.0811189541586873,-1.9345701955010497,-2.093794004035063,-1.4199616329916904,-0.8129555481186533,746.1,0
67969,0.46779475326315173,0.1506590434832807,-0.42004746462751613,-0.8469337372476631,0.5602257109707197,408.81,0
5311,0.7361223506692577,-0.015714939852446642,0.13920411095681615,-0.04524962373931993,-0.9121282566094987,932.97,0
